product_key,product_name,category,subcategory,cost,last_sale_date,recency_in_months,product_obsolescence_status,lifetime_sales_tier,active_lifespan_tier,product_margin_segment,product_profit_volume_segment,purchase_frequency_tier,total_sales,total_quantity,total_orders,total_customers,lifespan_months,avg_selling_price,avg_order_revenue,avg_monthly_revenue,sales_2012,sales_2013,product_yoy_sales_growth_rate
11,Road-450 Red- 44,Bikes,Road Bikes,885,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
12,Road-450 Red- 48,Bikes,Road Bikes,885,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
13,Road-450 Red- 52,Bikes,Road Bikes,885,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
14,Road-450 Red- 58,Bikes,Road Bikes,885,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
15,Road-450 Red- 60,Bikes,Road Bikes,885,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
16,Road-150 Red- 44,Bikes,Road Bikes,2171,28/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,1005418,281,281,281,12,3578,3578,77339.85,0,0,0
17,Road-150 Red- 48,Bikes,Road Bikes,2171,28/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,1205786,337,337,337,12,3578,3578,92752.77,0,0,0
18,Road-150 Red- 52,Bikes,Road Bikes,2171,27/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,1080556,302,302,302,12,3578,3578,83119.69,0,0,0
19,Road-150 Red- 56,Bikes,Road Bikes,2171,27/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,1055510,295,295,295,12,3578,3578,81193.08,0,0,0
20,Road-150 Red- 62,Bikes,Road Bikes,2171,28/12/2011,24,Obsolete / Dead Stock (12+ Months Inactive),High-Performer (Lifetime),Standard Run (7-12 Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,1202208,336,336,336,12,3578,3578,92477.54,0,0,0
21,HL Mountain Frame - Black- 44,Components,Mountain Frames,699,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
22,HL Mountain Frame - Black- 48,Components,Mountain Frames,699,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
23,HL Mountain Frame - Silver- 44,Components,Mountain Frames,707,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
24,HL Mountain Frame - Silver- 48,Components,Mountain Frames,707,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
25,ML Road Frame - Red- 44,Components,Road Frames,352,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
26,ML Road Frame - Red- 48,Components,Road Frames,352,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
27,ML Road Frame - Red- 52,Components,Road Frames,352,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
28,ML Road Frame - Red- 58,Components,Road Frames,352,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
29,ML Road Frame - Red- 60,Components,Road Frames,352,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
30,Mountain Bike Socks- L,Clothing,Socks,3,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
31,Mountain Bike Socks- M,Clothing,Socks,3,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
32,Mountain-300 Black- 38,Bikes,Mountain Bikes,598,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
33,Mountain-300 Black- 40,Bikes,Mountain Bikes,598,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
34,Mountain-300 Black- 44,Bikes,Mountain Bikes,598,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
35,Mountain-300 Black- 48,Bikes,Mountain Bikes,598,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
36,Road-650 Black- 44,Bikes,Road Bikes,487,26/12/2012,12,At Risk / Approaching Obsolete,Mid-Range (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Steady Cash Contributor ($5k-$20k),Repeat Purchase,47565,63,63,63,23,755,755,1981.88,32886,0,-1
37,Road-650 Black- 48,Bikes,Road Bikes,487,25/12/2012,12,At Risk / Approaching Obsolete,Mid-Range (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Steady Cash Contributor ($5k-$20k),Repeat Purchase,45552,60,60,60,21,759.2,759.2,2070.55,33669,0,-1
38,Road-650 Black- 52,Bikes,Road Bikes,487,19/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,66915,89,89,89,23,751.9,751.85,2788.13,43848,0,-1
39,Road-650 Black- 58,Bikes,Road Bikes,487,18/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,57996,76,76,76,23,763.1,763.11,2416.5,45414,0,-1
40,Road-650 Black- 60,Bikes,Road Bikes,487,12/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,57156,76,76,76,22,752.1,752.05,2485.04,37584,0,-1
41,Road-650 Black- 62,Bikes,Road Bikes,487,18/12/2012,12,At Risk / Approaching Obsolete,Mid-Range (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Steady Cash Contributor ($5k-$20k),Repeat Purchase,49047,65,65,65,24,754.6,754.57,1961.88,33669,0,-1
42,Road-650 Red- 44,Bikes,Road Bikes,487,25/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Steady Cash Contributor ($5k-$20k),Repeat Purchase,54528,72,72,72,23,757.3,757.33,2272,39150,0,-1
43,Road-650 Red- 48,Bikes,Road Bikes,487,27/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,66720,88,88,88,23,758.2,758.18,2780,47763,0,-1
44,Road-650 Red- 52,Bikes,Road Bikes,487,21/12/2012,12,At Risk / Approaching Obsolete,Mid-Range (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Steady Cash Contributor ($5k-$20k),Repeat Purchase,46083,61,61,61,24,755.5,755.46,1843.32,31320,0,-1
45,Road-650 Red- 58,Bikes,Road Bikes,487,18/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,56346,74,74,74,22,761.4,761.43,2449.83,43065,0,-1
46,Road-650 Red- 60,Bikes,Road Bikes,487,23/12/2012,12,At Risk / Approaching Obsolete,Mid-Range (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Steady Cash Contributor ($5k-$20k),Repeat Purchase,40071,53,53,53,23,756.1,756.06,1669.63,28188,0,-1
47,Road-650 Red- 62,Bikes,Road Bikes,487,05/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Extended Run (12+ Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,57381,75,75,75,23,765.1,765.08,2390.88,45414,0,-1
48,Road-250 Red- 44,Bikes,Road Bikes,1519,25/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Standard Run (7-12 Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,351792,144,144,144,12,2443,2443,27060.92,346906,0,-1
49,Road-250 Red- 48,Bikes,Road Bikes,1519,24/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Standard Run (7-12 Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,395766,162,162,162,12,2443,2443,30443.54,388437,0,-1
50,Road-250 Red- 52,Bikes,Road Bikes,1519,25/12/2012,12,At Risk / Approaching Obsolete,High-Performer (Lifetime),Standard Run (7-12 Months Active),Stable Margin Core (15%-40%),Massive Cash Generator (>$20k),Repeat Purchase,324919,133,133,133,12,2443,2443,24993.77,322476,0,-1
51,LL Fork,Components,Forks,66,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
52,ML Fork,Components,Forks,78,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
53,HL Fork,Components,Forks,102,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
54,ML Mountain Frame - Black- 38,Components,Mountain Frames,186,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
55,ML Mountain Frame - Black- 40,Components,Mountain Frames,186,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
56,ML Mountain Frame - Black- 44,Components,Mountain Frames,186,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
57,ML Mountain Frame - Black- 48,Components,Mountain Frames,186,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
58,LL Road Frame - Red- 44,Components,Road Frames,187,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
59,LL Road Frame - Red- 48,Components,Road Frames,187,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
60,LL Road Frame - Red- 52,Components,Road Frames,187,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
61,LL Road Frame - Red- 58,Components,Road Frames,187,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
62,LL Road Frame - Red- 60,Components,Road Frames,187,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
63,LL Road Frame - Red- 62,Components,Road Frames,187,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
64,LL Mountain Front Wheel,Components,Wheels,27,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
65,ML Mountain Front Wheel,Components,Wheels,93,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
66,HL Mountain Front Wheel,Components,Wheels,133,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
67,LL Road Front Wheel,Components,Wheels,38,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
68,ML Road Front Wheel,Components,Wheels,110,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
69,HL Road Front Wheel,Components,Wheels,147,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
70,Touring Front Wheel,Components,Wheels,97,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
71,Full-Finger Gloves- L,Clothing,Gloves,16,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
72,Full-Finger Gloves- M,Clothing,Gloves,16,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
73,Full-Finger Gloves- S,Clothing,Gloves,16,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
74,LL Headset,Components,Headsets,15,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
75,ML Headset,Components,Headsets,45,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
76,HL Headset,Components,Headsets,55,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
77,Cable Lock,Accessories,Locks,10,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
78,Headlights - Dual-Beam,Accessories,Lights,14,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
79,Headlights - Weatherproof,Accessories,Lights,19,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
80,Taillights - Battery-Powered,Accessories,Lights,6,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
81,Touring-Panniers- Large,Accessories,Panniers,52,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
82,Minipump,Accessories,Pumps,8,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
83,Mountain Pump,Accessories,Pumps,10,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
84,LL Mountain Rear Wheel,Components,Wheels,39,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
85,ML Mountain Rear Wheel,Components,Wheels,105,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
86,HL Mountain Rear Wheel,Components,Wheels,145,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
87,LL Road Rear Wheel,Components,Wheels,50,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
88,ML Road Rear Wheel,Components,Wheels,122,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
89,HL Road Rear Wheel,Components,Wheels,159,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
90,Touring Rear Wheel,Components,Wheels,109,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
91,Men's Bib-Shorts- L,Clothing,Bib-Shorts,37,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
92,Men's Bib-Shorts- M,Clothing,Bib-Shorts,37,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
93,Men's Bib-Shorts- S,Clothing,Bib-Shorts,37,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
94,Men's Sports Shorts- L,Clothing,Shorts,25,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
95,Men's Sports Shorts- M,Clothing,Shorts,25,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
96,Men's Sports Shorts- S,Clothing,Shorts,25,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
97,Men's Sports Shorts- XL,Clothing,Shorts,25,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
98,Women's Tights- L,Clothing,Tights,31,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
99,Women's Tights- M,Clothing,Tights,31,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
100,Women's Tights- S,Clothing,Tights,31,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
101,LL Bottom Bracket,Components,Bottom Brackets,24,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
102,ML Bottom Bracket,Components,Bottom Brackets,45,,,Dead Stock (Zero Lifetime Sales),Low-Performer (Lifetime),Unsold Catalog Item,No Sales Activity,Low Cash / Minor Contributor ($0-$5k),No Purchases,0,0,0,0,,,0,0,0,0,0
